ID_SOMAEU,siteNo,nom,secteur,region,lon,lat
PTC-139,4600-03D,4600-03D Trop-plein Crewe,OMAEU de Pointe-Claire,POINTE-CLAIRE,-73.8182873995221,45.431867682303
MTL-140,4610-01D,4610-01D S.P. no 1,OMAEU de Montréal (Station Jean-R.-Marcotte),BEACONSFIELD,-73.8454166099615,45.4297926270275
BCF-141,4610-06D,4610-06D S.P. no 6  (Amovible),OMAEU de Beaconsfield,BEACONSFIELD,-73.8499297003533,45.4282975489121
BCF-142,4620-01D,4620-01D S.P. no 7,OMAEU de Beaconsfield,BEACONSFIELD,-73.8845495508252,45.4153120908585
BCF-143,4620-02D,4620-02D S.P. no 9,OMAEU de Beaconsfield,BEACONSFIELD,-73.8876834027278,45.4146923838702
BCF-144,4620-03D,4620-03D S.P. no 10 (Amovible),OMAEU de Beaconsfield,BEACONSFIELD,-73.8876834027278,45.4146923838702
BCF-145,4620-04D,4620-04D Trop-plein de la Vanne B (anc. Woodland-Lakesh),OMAEU de Beaconsfield,BEACONSFIELD,-73.8839623033296,45.4154397764617
BCF-146,4620-05D,4620-05D S.P. no 8  (Amovible),OMAEU de Beaconsfield,BEACONSFIELD,-73.8905764043247,45.4259599782438
BCF-147,4620-06D,4620-06D S.P. no 11 (Amovible),OMAEU de Beaconsfield,BEACONSFIELD,-73.869126808962,45.4212023228433
MTL-148,4710-01D,4710-01D S.P. 134è avenue (PAT),OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.4966935816307,45.6980396591723
MTL-149,4710-02D,4710-02D S.P. 134è avenue - Émissaire d'urgence,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.4966935816307,45.6980396591723
MTL-150,4720-01D,4720-01D S.P. Delphis-Delorme (PAT),OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL (R-D-P),-73.4893511699193,45.7004911983981
MTL-153,4770-01D,4770-01D S.P. Avenue 35 (PAT),OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL,-73.4885133896309,45.6572014572807
MTL-154,4790-01D,4790-01D S.P. Cité du Havre,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL,-73.5403481312554,45.4897238676333
MTL-155,4795-01D,4795-01D S.P. Moffat,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL,-73.5668496183518,45.4496348882409
MTL-155,4795-01D,4795-01D S.P. Moffat,OMAEU de Montréal (Station Jean-R.-Marcotte),MONTRÉAL,-73.5668496183518,45.4496348882409
MTL-157,4630-01D,4630-01D TP St-Régis,OMAEU de Montréal (Station Jean-R.-Marcotte),DORVAL,-73.7703273154061,45.4916445406445
MTL-160,4310-02D,4310-02D TP Bombardier,OMAEU de Montréal (Station Jean-R.-Marcotte),ANJOU,-73.6211801929942,45.6292752609957
MTL-161,4530-03D,4530-03D S.P. Thorncrest,OMAEU de Montréal (Station Jean-R.-Marcotte),DORVAL,-73.7581883469912,45.4390110549523
BCF-164,4620-07D,4620-07D Woodland,OMAEU de Beaconsfield,BEACONSFIELD,-73.8823026266441,45.4158148508797
